workloads,repetition,xapp,expected_requests,observed_requests,valid_responses,deadline_misses,end_to_end_mean_ms
75,2,scale-n075-x032,20,20,20,20,16446.11496755
75,2,scale-n075-x033,20,20,20,20,15951.13194055
75,2,scale-n075-x034,20,20,19,20,17004.681929899998
75,2,scale-n075-x035,20,20,17,20,17579.7692694
75,2,scale-n075-x036,20,20,19,20,16885.70274435
75,2,scale-n075-x037,20,20,18,20,17177.27977275
75,2,scale-n075-x038,20,20,20,20,19121.87000295
75,2,scale-n075-x039,20,20,20,20,16130.308282099999
75,2,scale-n075-x040,20,20,19,20,16794.0413108
75,2,scale-n075-x041,20,20,18,20,17355.818063349998
75,2,scale-n075-x042,20,20,19,20,17607.55874565
75,2,scale-n075-x043,20,20,19,20,17227.4211298
75,2,scale-n075-x044,20,20,20,20,15632.19001835
75,2,scale-n075-x045,20,20,19,20,18465.993915749998
75,2,scale-n075-x046,20,20,20,20,15643.17058455
75,2,scale-n075-x047,20,20,19,20,15906.046101200001
75,2,scale-n075-x048,20,20,20,20,14904.215080450002
75,2,scale-n075-x049,20,20,19,20,16881.348250000003
75,2,scale-n075-x050,20,20,19,20,18218.3663679
75,2,scale-n075-x051,20,20,18,20,17651.2742972
75,2,scale-n075-x052,20,20,20,20,16137.282807799998
75,2,scale-n075-x053,20,20,20,20,16297.282046799999
75,2,scale-n075-x054,20,20,19,20,17384.6578725
75,2,scale-n075-x055,20,20,19,20,18064.90783535
75,2,scale-n075-x056,20,20,18,20,20030.87905675
75,2,scale-n075-x057,20,20,20,20,18728.787508150002
75,2,scale-n075-x058,20,20,20,20,19990.5590351
75,2,scale-n075-x059,20,20,19,20,19639.7867501
75,2,scale-n075-x060,20,20,18,20,19173.29433295
75,2,scale-n075-x061,20,20,20,20,17776.56005295
75,2,scale-n075-x062,20,20,19,20,17970.325667999998
75,2,scale-n075-x063,20,20,19,20,18223.7423899
75,2,scale-n075-x064,20,20,19,20,19227.89758915
75,2,scale-n075-x065,20,20,19,20,19172.50580085
75,2,scale-n075-x066,20,20,20,20,19898.5212621
75,2,scale-n075-x067,20,20,19,20,19253.4578748
75,2,scale-n075-x068,20,20,18,20,19128.6700197
75,2,scale-n075-x069,20,20,20,20,18399.354511949998
75,2,scale-n075-x070,20,20,20,20,18933.10759535
75,2,scale-n075-x071,20,20,18,20,18682.54889855
75,2,scale-n075-x072,20,20,20,20,18346.2457211
75,2,scale-n075-x073,20,20,19,20,19228.3565818
75,2,scale-n075-x074,20,20,19,20,17722.823273449998
50,2,scale-n050-x000,20,20,20,18,3661.1096124999995
50,2,scale-n050-x001,20,20,20,18,3775.1827237999996
50,2,scale-n050-x002,20,20,20,18,3755.3175325999996
50,2,scale-n050-x003,20,20,20,18,4135.4613269
50,2,scale-n050-x004,20,20,20,19,5160.913063800001
50,2,scale-n050-x005,20,20,20,18,4772.2251601
50,2,scale-n050-x006,20,20,20,18,5078.8079218
50,2,scale-n050-x007,20,20,20,18,4849.693232449999
50,2,scale-n050-x008,20,20,20,18,5519.04059695
50,2,scale-n050-x009,20,20,20,18,5213.58991935
50,2,scale-n050-x010,20,20,20,18,5489.5856089
50,2,scale-n050-x011,20,20,20,19,4717.0497744
50,2,scale-n050-x012,20,20,20,18,5554.8618128
50,2,scale-n050-x013,20,20,20,18,5159.03066565
50,2,scale-n050-x014,20,20,20,19,5875.9661002
50,2,scale-n050-x015,20,20,20,19,6399.52682575
50,2,scale-n050-x016,20,20,20,19,6478.0069033
50,2,scale-n050-x017,20,20,20,19,6292.4770738
50,2,scale-n050-x018,20,20,20,19,6454.9906246
50,2,scale-n050-x019,20,20,20,19,5742.218775
50,2,scale-n050-x020,20,20,20,19,5570.60801595
50,2,scale-n050-x021,20,20,20,19,5973.06420125
50,2,scale-n050-x022,20,20,20,19,5615.7160624
50,2,scale-n050-x023,20,20,20,19,5908.5219185000005
50,2,scale-n050-x024,20,20,20,19,5710.46478095
50,2,scale-n050-x025,20,20,20,19,6141.4580364
50,2,scale-n050-x026,20,20,20,19,5837.4895882
50,2,scale-n050-x027,20,20,20,19,6416.3793128
50,2,scale-n050-x028,20,20,20,20,6562.5795476
50,2,scale-n050-x029,20,20,20,20,5841.9833824
50,2,scale-n050-x030,20,20,20,20,5911.353669300001
50,2,scale-n050-x031,20,20,20,20,6541.1855435
50,2,scale-n050-x032,20,20,20,20,6085.383857549999
50,2,scale-n050-x033,20,20,20,20,5842.0154965
50,2,scale-n050-x034,20,20,20,20,6077.94133895
50,2,scale-n050-x035,20,20,20,20,6510.4791199
50,2,scale-n050-x036,20,20,20,20,7153.0191648499995
50,2,scale-n050-x037,20,20,20,20,6479.5839716
50,2,scale-n050-x038,20,20,20,20,8112.120885899999
50,2,scale-n050-x039,20,20,20,20,6912.96089585
50,2,scale-n050-x040,20,20,20,20,6681.3524387
50,2,scale-n050-x041,20,20,20,20,7499.8362947000005
50,2,scale-n050-x042,20,20,20,20,7390.6829373
50,2,scale-n050-x043,20,20,20,20,6268.50801695
50,2,scale-n050-x044,20,20,20,20,7151.78708955
50,2,scale-n050-x045,20,20,20,20,7029.309977250001
50,2,scale-n050-x046,20,20,20,20,7063.55356565
50,2,scale-n050-x047,20,20,20,20,6378.82132285
50,2,scale-n050-x048,20,20,20,20,6219.25924585
50,2,scale-n050-x049,20,20,20,20,5891.0453259000005
20,2,scale-n020-x000,20,20,20,0,300.75837515
20,2,scale-n020-x001,20,20,20,0,304.29304160000004
20,2,scale-n020-x002,20,20,20,0,288.5286334
20,2,scale-n020-x003,20,20,20,0,306.0874362
20,2,scale-n020-x004,20,20,20,0,334.90003164999996
20,2,scale-n020-x005,20,20,20,0,340.1847823
20,2,scale-n020-x006,20,20,20,0,384.10531075
