workloads,repetition,xapp,expected_requests,observed_requests,valid_responses,deadline_misses,end_to_end_mean_ms
45,2,scale-n045-x006,20,20,20,16,2507.05279535
45,2,scale-n045-x007,20,20,20,16,2504.2624779499997
45,2,scale-n045-x008,20,20,20,16,2568.37448495
45,2,scale-n045-x009,20,20,20,16,2628.9376017
45,2,scale-n045-x010,20,20,20,17,2628.9643575
45,2,scale-n045-x011,20,20,20,16,2653.18198485
45,2,scale-n045-x012,20,20,20,17,2680.8631438
45,2,scale-n045-x013,20,20,20,17,2785.0505311
45,2,scale-n045-x014,20,20,20,17,2816.24021795
45,2,scale-n045-x015,20,20,20,17,2819.72925605
45,2,scale-n045-x016,20,20,20,18,2869.2878649500003
45,2,scale-n045-x017,20,20,20,17,2906.84122135
45,2,scale-n045-x018,20,20,20,17,2976.1626330999998
45,2,scale-n045-x019,20,20,20,17,3019.3263985999997
45,2,scale-n045-x020,20,20,20,18,3148.48271045
45,2,scale-n045-x021,20,20,20,18,2884.8500725
45,2,scale-n045-x022,20,20,20,18,3207.12227695
45,2,scale-n045-x023,20,20,20,18,3240.0240599
45,2,scale-n045-x024,20,20,20,19,3193.2959842
45,2,scale-n045-x025,20,20,20,18,3179.9899641
45,2,scale-n045-x026,20,20,20,18,3295.0408930999997
45,2,scale-n045-x027,20,20,20,18,3250.5307805
45,2,scale-n045-x028,20,20,20,19,3707.6965339000003
45,2,scale-n045-x029,20,20,20,19,3966.84495665
45,2,scale-n045-x030,20,20,20,20,3643.7661034999996
45,2,scale-n045-x031,20,20,20,20,4265.9743427
45,2,scale-n045-x032,20,20,20,20,4050.9785524999998
45,2,scale-n045-x033,20,20,20,20,4232.87792615
45,2,scale-n045-x034,20,20,20,20,4040.1904716500003
45,2,scale-n045-x035,20,20,20,20,3844.0862067499997
45,2,scale-n045-x036,20,20,20,20,4316.30828505
45,2,scale-n045-x037,20,20,20,20,4193.74375605
45,2,scale-n045-x038,20,20,20,20,4223.8791476
45,2,scale-n045-x039,20,20,20,20,4346.609868699999
45,2,scale-n045-x040,20,20,20,20,4333.9316157
45,2,scale-n045-x041,20,20,20,20,4296.19102395
45,2,scale-n045-x042,20,20,20,20,4451.3075152
45,2,scale-n045-x043,20,20,20,20,4391.5042689
45,2,scale-n045-x044,20,20,20,20,4328.98049385
40,2,scale-n040-x000,20,20,20,17,3641.8888383500002
40,2,scale-n040-x001,20,20,20,16,3379.6079363
40,2,scale-n040-x002,20,20,20,17,3827.1138511999998
40,2,scale-n040-x003,20,20,20,17,4034.6702417
