schema,started_utc,finished_utc,workloads,repetition,seed,warmup_ticks,measured_ticks,ticks,max_contexts,decision_equiv_ok,decision_mismatches,expected_updates,observed_updates,trace_accepted_rows,wall_time_s,cpu_time_s,throughput_updates_s,cpu_utilization_one_core_pct,rss_start_bytes,rss_end_bytes,rss_delta_bytes,cycle_latency_mean_ms,cycle_latency_median_ms,cycle_latency_p50_ms,cycle_latency_p95_ms,cycle_latency_p99_ms,cycle_latency_max_ms,deadline_misses,deadline_miss_rate
zt-xguard-detector-capacity-worker-v2,2026-08-08T05:22:09.536210+00:00,2026-08-08T05:22:10.279467+00:00,20,4,20280811,8,300,300,80,True,0,6160,6160,1772,0.305844518,0.301807955,20140.952796152455,98.68019115516728,38162432,38555648,393216,0.9933064966666666,0.851414,0.851414,2.1469424500000027,3.091025889999999,3.511395,0,0.0
zt-xguard-detector-capacity-worker-v2,2026-08-08T05:22:10.304412+00:00,2026-08-08T05:22:11.040225+00:00,20,5,20280812,8,300,300,80,True,0,6160,6160,1772,0.296088735,0.295847929,20804.57400718065,99.91867100246148,38273024,38678528,405504,0.9630850433333334,0.835313,0.835313,2.1640873000000025,2.7586311899999982,3.008776,0,0.0
zt-xguard-detector-capacity-worker-v2,2026-08-08T05:22:11.068795+00:00,2026-08-08T05:22:12.415927+00:00,40,1,20300808,8,300,300,80,True,0,12320,12320,1772,0.557313254,0.556616833,22106.059584220835,99.87503957693423,38223872,38653952,430080,1.81977122,1.6143035000000001,1.6143035000000001,2.8956123000000002,5.598645859999999,6.417591,0,0.0
zt-xguard-detector-capacity-worker-v2,2026-08-08T05:22:12.443829+00:00,2026-08-08T05:22:13.864707+00:00,40,2,20300809,8,300,300,80,True,0,12320,12320,1772,0.651382315,0.650027808,18913.623714208454,99.7920565282771,38150144,38592512,442368,2.124366063333333,1.8327765,1.8327765,4.157674900000001,6.3208735399999965,7.420918,0,0.0
zt-xguard-detector-capacity-worker-v2,2026-08-08T05:22:13.889737+00:00,2026-08-08T05:22:15.290409+00:00,40,3,20300810,8,300,300,80,True,0,12320,12320,1772,0.696119572,0.69563059,17698.108910519182,99.92975603334997,38096896,38543360,446464,2.2770813866666666,1.7383145,1.7383145,5.64990795,7.103968959999989,14.052899,0,0.0
zt-xguard-detector-capacity-worker-v2,2026-08-08T05:22:15.312128+00:00,2026-08-08T05:22:16.708423+00:00,40,4,20300811,8,300,300,80,True,0,12320,12320,1772,0.548668156,0.547543134,22454.37404244033,99.79495401952943,38211584,38641664,430080,1.79106303,1.651272,1.651272,2.7313482500000004,3.227081269999996,4.889354,0,0.0
zt-xguard-detector-capacity-worker-v2,2026-08-08T05:22:16.739601+00:00,2026-08-08T05:22:18.094881+00:00,40,5,20300812,8,300,300,80,True,0,12320,12320,1772,0.671199875,0.67012692,18355.188162095532,99.84014374257742,38293504,38723584,430080,2.19289677,1.777414,1.777414,4.191107900000003,7.005638879999974,12.423604,0,0.0
zt-xguard-detector-capacity-worker-v2,2026-08-08T05:22:18.119403+00:00,2026-08-08T05:22:20.266129+00:00,60,1,20320808,8,300,300,80,True,0,18480,18480,1772,0.934036353,0.932972287,19785.09716527061,99.88607873809383,38207488,38744064,536576,3.0558037766666666,2.6392855,2.6392855,6.240241200000001,10.029163149999999,21.327818,0,0.0
zt-xguard-detector-capacity-worker-v2,2026-08-08T05:22:20.311222+00:00,2026-08-08T05:22:22.659692+00:00,60,2,20320809,8,300,300,80,True,0,18480,18480,1772,1.119052909,1.115723425,16513.9644885191,99.70247304902006,38309888,38830080,520192,3.5384742166666667,3.155719,3.155719,6.54471165,10.171412479999999,11.362267,0,0.0
zt-xguard-detector-capacity-worker-v2,2026-08-08T05:22:22.685976+00:00,2026-08-08T05:22:24.720366+00:00,60,3,20320810,8,300,300,80,True,0,18480,18480,1772,0.944849501,0.941850528,19558.670434224,99.6825978108867,38137856,38674432,536576,3.0695692633333334,2.6593125,2.6593125,5.309286350000001,8.650957189999998,9.265639,0,0.0
zt-xguard-detector-capacity-worker-v2,2026-08-08T05:22:24.744887+00:00,2026-08-08T05:22:26.700224+00:00,60,4,20320811,8,300,300,80,True,0,18480,18480,1772,0.93698757,0.935560127,19722.780313937357,99.84765614340007,38281216,38801408,520192,3.0631990566666665,2.6741135,2.6741135,5.131118950000001,8.979941559999999,12.831424,0,0.0
zt-xguard-detector-capacity-worker-v2,2026-08-08T05:22:26.725657+00:00,2026-08-08T05:22:28.638154+00:00,60,5,20320812,8,300,300,80,True,0,18480,18480,1772,0.94042879,0.93617707,19650.610653891188,99.54789559345583,38158336,38694912,536576,3.0690692366666665,2.686325,2.686325,5.04066475,10.008606099999998,13.086324,0,0.0
zt-xguard-detector-capacity-worker-v2,2026-08-08T05:22:28.665575+00:00,2026-08-08T05:22:31.221916+00:00,80,1,20340808,8,300,300,80,True,0,24640,24640,1772,1.133593724,1.131499913,21736.182442026293,99.81529440789318,38256640,38850560,593920,3.6979652,3.3696105000000003,3.3696105000000003,5.328258650000003,9.678804109999978,12.759046,0,0.0
zt-xguard-detector-capacity-worker-v2,2026-08-08T05:22:31.247795+00:00,2026-08-08T05:22:34.153972+00:00,80,2,20340809,8,300,300,80,True,0,24640,24640,1772,1.594469161,1.591148341,15453.418982745694,99.79172880346476,38252544,38862848,610304,5.231396846666667,3.9653745000000002,3.9653745000000002,12.951280250000002,16.636024569999993,50.674358,0,0.0
zt-xguard-detector-capacity-worker-v2,2026-08-08T05:22:34.178124+00:00,2026-08-08T05:22:36.578974+00:00,80,3,20340810,8,300,300,80,True,0,24640,24640,1772,1.251332313,1.24929781,19691.01232663525,99.83741305336211,38227968,38838272,610304,4.10109885,3.534519,3.534519,7.447870550000004,10.98410810999999,13.696767,0,0.0
zt-xguard-detector-capacity-worker-v2,2026-08-08T05:22:36.604042+00:00,2026-08-08T05:22:39.081807+00:00,80,4,20340811,8,300,300,80,True,0,24640,24640,1772,1.263201513,1.258360884,19505.993102780583,99.61679676993863,38297600,38891520,593920,4.087725393333334,3.5965344999999997,3.5965344999999997,7.002779550000004,12.469068719999997,16.246326,0,0.0
zt-xguard-detector-capacity-worker-v2,2026-08-08T05:22:39.111969+00:00,2026-08-08T05:22:41.598511+00:00,80,5,20340812,8,300,300,80,True,0,24640,24640,1772,1.147563664,1.14552584,21471.5756284176,99.82242170400404,38305792,38899712,593920,3.7059051999999997,3.3448279999999997,3.3448279999999997,5.357398300000001,10.219316409999967,18.449441,0,0.0
